date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:36	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
12:25:36	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
12:25:37	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
12:25:37	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:25:37	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
12:25:38	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
12:25:38	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
12:25:39	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
12:25:39	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
12:25:39	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
12:25:40	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:25:40	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
12:25:41	6320/6320	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
12:25:41	6644/6644	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
